# 'k', 'k_acc', 'k_presicion', 'k_recall', 'k_fscore', 'c_acc', 'c_presicion', 'c_recall', 'c_fscore'
1.000000,0.984000,0.972000,0.984000,0.977164,0.984000,0.972000,0.984000,0.977164
2.000000,0.984000,0.972000,0.984000,0.977164,0.984000,0.972000,0.984000,0.977164
3.000000,0.975667,0.972000,0.975667,0.972618,0.975667,0.972000,0.975667,0.972618
4.000000,0.975667,0.972000,0.975667,0.972618,0.975667,0.972000,0.975667,0.972618
5.000000,0.975667,0.972000,0.975667,0.972618,0.975667,0.972000,0.975667,0.972618
6.000000,0.984000,0.972000,0.984000,0.977164,0.984000,0.972000,0.984000,0.977164
7.000000,0.984000,0.972000,0.984000,0.977164,0.984000,0.972000,0.984000,0.977164
8.000000,0.984000,0.972000,0.984000,0.977164,0.984000,0.972000,0.984000,0.977164
9.000000,0.984000,0.972000,0.984000,0.977164,0.984000,0.972000,0.984000,0.977164
10.000000,0.984000,0.972000,0.984000,0.977164,0.984000,0.972000,0.984000,0.977164
